device,count
Android</a>,7128
iPhone</a>,4778
Client</a>,3000
App</a>,1617
Corresponsables</a>,544
Inc.</a>,446
"rel=""nofollow"">TweetDeck</a>",298
iPad</a>,230
"rel=""nofollow"">Buffer</a>",59
"rel=""nofollow"">Instagram</a>",59
"rel=""nofollow"">IFTTT</a>",46
Social</a>,28
"rel=""nofollow"">LinkedIn</a>",28
"rel=""nofollow"">Facebook</a>",19
"rel=""nofollow"">SDGsbot</a>",19
RT</a>,12
Studio</a>,12
Composer</a>,11
"rel=""nofollow"">Metricool</a>",10
Manager</a>,9
Platform</a>,8
"rel=""nofollow"">HubSpot</a>",8
"rel=""nofollow"">WordPress.com</a>",7
(M2)</a>,7
"rel=""nofollow"">SocialGest</a>",5
iΟS</a>,5
</a>,4
"rel=""nofollow"">SocialElephants</a>",4
"rel=""nofollow"">Scoop.it</a>",3
"rel=""nofollow"">Noti_importante</a>",3
app</a>,3
"rel=""nofollow"">werftgh8765</a>",3
"rel=""nofollow"">Paper.li</a>",3
"rel=""nofollow"">7trg6f4</a>",3
"rel=""nofollow"">Piepmatz</a>",3
iOS</a>,3
"rel=""nofollow"">FavPanama</a>",2
"rel=""nofollow"">AnimalitosRT</a>",2
"rel=""nofollow"">ineetnetv2</a>",2
"rel=""nofollow"">Sprinklr</a>",2
Sv</a>,2
BAB</a>,1
Information</a>,1
dpontarlier</a>,1
g</a>,1
"rel=""nofollow"">Flipboard</a>",1
"rel=""nofollow"">64237900</a>",1
applis</a>,1
"rel=""nofollow"">DavidCoaching</a>",1
"rel=""nofollow"">Will_RoBot</a>",1
"rel=""nofollow"">HeyOrca</a>",1
Engage</a>,1
"rel=""nofollow"">CoachingMiguel</a>",1
twitter25</a>,1
"rel=""nofollow"">56yujhgvcyt</a>",1
Salvador</a>,1
Mac</a>,1
vincent</a>,1
"rel=""nofollow"">CinchTweet-dev</a>",1
"rel=""nofollow"">designthinkbot</a>",1
bot</a>,1
"rel=""nofollow"">dlvr.it</a>",1
