usuario,followers,friends,tweet,retweets
rlemoineCNC,50,100,1,0
Alfons_Valencia,4463,1215,1,1
ThomasGass,7802,1690,1,0
RenecastroCR,16831,432,1,0
anikka91,829,1726,9,1
rbacedo1,24,51,1,0
DPRCubaOnu,1991,1064,4,0
adri_angeles20,139,137,1,0
SantiagoTepec,523,190,1,0
vborgonio,233,493,2,0
tizayucacecyteh,644,175,1,0
eltiempo_atv,6997,545,1,0
felip_lorenzo,477,448,1,0
irmajarai,100,192,1,0
bernalette1,3000,1039,1,0
ugtcofely,213,477,1,0
RIPESStwit,1204,437,0,2
linaarbelaez,2326,1108,1,0
pisorga,65,175,1,0
CMigrante,165,347,1,0
platdeinfancia,16468,4475,0,1
sirCesarHerrero,469,276,0,1
aambros,2143,1590,16,1
vpalacios2,443,585,1,0
VERO_MIER,13160,3627,1,0
EmpresaEscuela,63,198,0,1
EmbEspAlbania,689,347,3,0
jesusvgod,145,919,0,2
luzmila71,65,358,1,0
legadosolidario,306,166,1,0
DrSantacreu,1883,1009,1,0
aliipita,66,127,1,0
PutaBolleraLoca,3071,1633,1,0
ckundaa,305,855,0,1
AuditoriaAGN,6761,344,0,3
MherranzS,171,152,1,0
ULPGC,49273,1390,1,0
real_gandi63,454,762,1,0
LuisHidalgo9,1318,1623,2,0
Fabiola26929100,67,210,1,0
MindusIndustria,2376,354,2,0
Elarkidelbarrio,593,1652,12,0
ama1215,669,2061,1,0
miml1979,245,994,1,0
Fdo_Cabezas,289,1050,6,0
fchapellin83,176,715,1,0
FamiliarGestion,246,968,1,0
iagobueno,322,449,0,1
itaipuparaguay,45167,827,0,3
eivars,2374,1567,1,0
conversaccion_,57,160,1,0
ady_8_26,221,904,1,0
PauiSolidaritat,1075,669,1,0
EmbEspMauritani,1311,256,0,4
el_larguirucho,119,173,1,0
AraAbf,2549,4110,1,0
OIMChile,5872,3500,1,0
aanez55,130,519,3,0
icm_young,370,195,1,0
SPRU,9716,1774,1,0
JuntosporlaVida,795,835,3,0
carmelanda1,27,253,2,0
elperiodista_sv,19244,2601,1,0
crespial,1342,255,0,2
HEVIACHAVARRI,251,508,1,0
nourmouati,1592,4999,0,1
Funtrajusto1,128,258,1,0
xilimeme,576,761,1,0
MAGYLOPEZH,4,15,2,0
ParraMMilena,198,806,1,0
Nesfero69,795,1095,1,0
flopezsastre,140,301,1,0
boell_MXCA,2923,2055,0,1
ndequeiros,1069,358,6,0
OLACEFS_oficial,211,39,0,1
jorge_edward,2059,4476,2,0
architoqui,221,641,1,0
MariaGMonagas,39382,6865,1,0
elmorsa,46055,1119,0,2
barbiebiologa,1403,419,1,0
mlunatamayo,6578,326,1,0
maristascompost,1725,134,1,0
magdalenaruizm,5788,952,1,0
Mares1203,69,380,1,0
ICDQ_Cert,652,634,0,3
cp_ctgybol,599,1214,0,1
carmepovedal,145,424,1,0
favre99,479,1572,2,0
naticah21,465,751,0,1
convivem_CFIEVA,388,251,2,0
valeriaramire43,394,1461,1,0
javiarenas_13,76,45,1,0
AiQuEzAdA,404,1080,1,0
